prompt_id,packet_card_number,packet_number,character,category,venue,position,text,timed,duration_seconds
CL03-5,3,3,Quokka (Trev),Comedy Lounge,comedy_lounge,5,Tell a two-sentence story about something that definitely did not happen to you this year. Must have a beginning and an end. Must be funny.,FALSE,
CL03-6,3,3,Quokka (Trev),Comedy Lounge,comedy_lounge,6,"Tell a 20-second story that begins: ""So this one time at a Christmas party..."" It must escalate. It must end badly for someone.",TRUE,20
CL03-7,3,3,Quokka (Trev),Comedy Lounge,comedy_lounge,7,"Tell a joke in the style of a long, rambling story that seems to be going nowhere — and then arrives at a punchline so precise the table can't believe it. 30 seconds maximum.",TRUE,30
CL03-8,3,3,Quokka (Trev),Comedy Lounge,comedy_lounge,8,"Perform a 45-second comedic TED Talk on a topic of your choice. Must have a title, a thesis, and a call to action. Deadpan delivery required.",TRUE,45
CL04-1,4,4,Magpie (Timbo),Comedy Lounge,comedy_lounge,1,"Do your best impression of any animal at the table — the characters on the game cards, not the players. One sentence in their voice.",FALSE,
CL04-2,4,4,Magpie (Timbo),Comedy Lounge,comedy_lounge,2,"Do an impression of any well-known Australian — politician, sportsperson, TV personality — telling a Christmas joke. Must be recognisable.",FALSE,
CL04-3,4,4,Magpie (Timbo),Comedy Lounge,comedy_lounge,3,"Deliver this line as three different people in quick succession — announce each one: ""Well. That could have gone better.""",FALSE,
CL04-4,4,4,Magpie (Timbo),Comedy Lounge,comedy_lounge,4,Perform a 30-second stand-up set entirely in the voice of a well-known Australian you have not done before. Majority must identify them within the first 10 seconds or you restart.,TRUE,30
CL04-5,4,4,Magpie (Timbo),Comedy Lounge,comedy_lounge,5,Ask the table for a topic. Tell a joke about it. You have 20 seconds to think.,FALSE,
CL04-6,4,4,Magpie (Timbo),Comedy Lounge,comedy_lounge,6,Each player gives you one word. Tell a single joke that uses every word. You have 30 seconds to compose.,FALSE,
CL04-7,4,4,Magpie (Timbo),Comedy Lounge,comedy_lounge,7,"Player to your left gives you a punchline. You must construct the setup to make it work. 30 seconds to compose, then deliver.",FALSE,
CL04-8,4,4,Magpie (Timbo),Comedy Lounge,comedy_lounge,8,"The table gives you: a person, a place, and a problem. Perform a 30-second stand-up bit incorporating all three. Punchline must land on the problem.",TRUE,30
CL05-1,5,5,Emu (Bev),Comedy Lounge,comedy_lounge,1,Tell three jokes in 30 seconds. They do not need to be good. They need to be three jokes.,TRUE,30
CL05-2,5,5,Emu (Bev),Comedy Lounge,comedy_lounge,2,"Tell a joke without using the words ""the,"" ""a,"" or ""and."" No pausing to self-correct.",FALSE,
CL05-3,5,5,Emu (Bev),Comedy Lounge,comedy_lounge,3,Deliver a 20-second comedy bit speaking only in questions. Every sentence must be a question.,TRUE,20
CL05-4,5,5,Emu (Bev),Comedy Lounge,comedy_lounge,4,"Perform a 45-second stand-up set in which every sentence must make the table laugh or groan before you can say the next one. If two sentences pass in silence, you fail.",TRUE,45
CL05-5,5,5,Emu (Bev),Comedy Lounge,comedy_lounge,5,Tell a joke about something that has already happened at this table tonight. Must have a punchline.,FALSE,
CL05-6,5,5,Emu (Bev),Comedy Lounge,comedy_lounge,6,Reference the worst performance at this table so far tonight — kindly — in a 20-second stand-up bit. Must end with a compliment.,TRUE,20
CL05-7,5,5,Emu (Bev),Comedy Lounge,comedy_lounge,7,"Deliver a 20-second ""previously on"" recap of this game so far — in the voice of a dramatic TV narrator. At least three events referenced.",TRUE,20
CL05-8,5,5,Emu (Bev),Comedy Lounge,comedy_lounge,8,Perform a 40-second roast of the current leader — the player with the most tokens. Reference at least two specific things they have done in this game. Affectionate. Ends with genuine encouragement.,TRUE,40
CL06-1,6,6,Galah (Kel),Comedy Lounge,comedy_lounge,1,Pick up any object on the table. Tell a joke where that object is the punchline.,FALSE,
CL06-2,6,6,Galah (Kel),Comedy Lounge,comedy_lounge,2,Hold up any object from the table. Deliver a 20-second infomercial for it as if it is the greatest invention of the century. Absolute conviction.,TRUE,20
CL06-3,6,6,Galah (Kel),Comedy Lounge,comedy_lounge,3,Pick any object from the table. It is now evidence in a criminal trial. Deliver a 20-second closing argument.,TRUE,20
CL06-4,6,6,Galah (Kel),Comedy Lounge,comedy_lounge,4,Pick any two objects from the table. Perform a 30-second stand-up bit in which these objects are the protagonist and antagonist of a story. Name them. Give them voices.,TRUE,30
CL06-5,6,6,Galah (Kel),Comedy Lounge,comedy_lounge,5,Tell a joke — but deliver the setup with complete devastation and the punchline with pure joy. Whiplash required.,FALSE,
CL06-6,6,6,Galah (Kel),Comedy Lounge,comedy_lounge,6,Deliver a 20-second apology — for something you did not do — with absolute sincerity. No irony. No smiling.,TRUE,20
CL06-7,6,6,Galah (Kel),Comedy Lounge,comedy_lounge,7,Tell a joke about something genuinely sad — but make it funny. Respect the sadness. Find the funny anyway.,FALSE,
CL06-8,6,6,Galah (Kel),Comedy Lounge,comedy_lounge,8,"Perform a 40-second stand-up bit in which your emotional state changes completely every 10 seconds — joy, fury, grief, pride. The material stays the same; only your state changes.",TRUE,40
CL07-1,7,7,Echidna (Simmo),Comedy Lounge,comedy_lounge,1,"Tell a joke about Australian summer Christmas — the heat, the flies, the barbie, the beach. Must have a punchline.",FALSE,
CL07-2,7,7,Echidna (Simmo),Comedy Lounge,comedy_lounge,2,"Deliver a 20-second stand-up bit about any Australian animal — why it is ridiculous, dangerous, or both. Must have at least two observations.",TRUE,20
CL07-3,7,7,Echidna (Simmo),Comedy Lounge,comedy_lounge,3,"Tell a joke that only makes sense if you grew up in Australia. If anyone at the table doesn't get it, explain it — the explanation becomes part of the bit.",FALSE,
CL07-4,7,7,Echidna (Simmo),Comedy Lounge,comedy_lounge,4,"Perform a 40-second stand-up bit about any Australian institution — the surf club, the Royal Show, Bunnings, the school play — as if explaining it to someone who has never heard of it.",TRUE,40
CL07-5,7,7,Echidna (Simmo),Comedy Lounge,comedy_lounge,5,You and the player to your left each tell a one-liner on the same topic — table names the topic. The table votes for the funnier one. You go first.,FALSE,
CL07-6,7,7,Echidna (Simmo),Comedy Lounge,comedy_lounge,6,You and the player to your right have 30 seconds each to deliver a stand-up bit on the same subject. Table names the subject. Table votes.,TRUE,30
CL07-7,7,7,Echidna (Simmo),Comedy Lounge,comedy_lounge,7,"You and the player to your left alternate lines of a joke — you set up, they punch, you set up again, they punch again. Four lines total. Table votes on whether it worked.",FALSE,
CL07-8,7,7,Echidna (Simmo),Comedy Lounge,comedy_lounge,8,"Perform a 30-second roast battle with the player across from you. Alternating — you go first, then them. Two rounds each. Keep it warm. Table votes on the winner.",TRUE,30
CL08-1,8,8,Platypus (Val),Comedy Lounge,comedy_lounge,1,"Tell a joke — but replace every verb with the word ""cracker."" Deliver it straight.",FALSE,
CL08-2,8,8,Platypus (Val),Comedy Lounge,comedy_lounge,2,Deliver a 20-second stand-up bit about a topic named by the player to your right — but speak only in questions.,TRUE,20
CL08-3,8,8,Platypus (Val),Comedy Lounge,comedy_lounge,3,"Perform a 20-second stand-up bit — but every time someone at the table coughs, sneezes, or laughs, you must restart from the beginning.",TRUE,20
CL08-4,8,8,Platypus (Val),Comedy Lounge,comedy_lounge,4,Tell a joke — but the player to your left writes the punchline on a piece of paper before you start. You must construct a setup that makes their punchline work. You see the punchline only when you deliver it.,FALSE,
CL08-5,8,8,Platypus (Val),Comedy Lounge,comedy_lounge,5,Tell the best joke you know. Not original — the best one you actually know. Deliver it perfectly.,FALSE,
CL08-6,8,8,Platypus (Val),Comedy Lounge,comedy_lounge,6,Perform a 30-second stand-up bit about whatever the table agrees was the worst moment of the evening. Find the funny. The person most involved casts the deciding vote.,TRUE,30
CL08-7,8,8,Platypus (Val),Comedy Lounge,comedy_lounge,7,"Deliver a 30-second comedy eulogy for this game — it is ending, it gave everything, it will be missed. At least two specific moments referenced.",TRUE,30
CL08-8,8,8,Platypus (Val),Comedy Lounge,comedy_lounge,8,"Perform a 60-second closing set. Cover: one observation about the table, one callback to an earlier performance, one prediction for next Christmas, and a closing line that lands. No notes.",TRUE,60
TC09-1,9,1,Kookaburra (Nev),The Club,the_club,1,"Sing ""Happy Birthday"" — replace ""Happy Birthday"" with ""Merry Christmas"" and the name with the player to your left. Full song.",FALSE,
TC09-2,9,1,Kookaburra (Nev),The Club,the_club,2,"Improvise a four-line rhyming poem about what's on the Christmas table right now. Lines 1 & 3 rhyme. Lines 2 & 4 rhyme. 30 seconds to compose, then perform.",FALSE,
TC09-3,9,1,Kookaburra (Nev),The Club,the_club,3,Someone names any Australian animal. Sing a jingle — at least three lines — advertising that animal as a Christmas gift. Your choice of tune.,FALSE,
TC09-4,9,1,Kookaburra (Nev),The Club,the_club,4,Player to your left gives you a word. Perform an improvised rap — at least six lines — ending with a rhyme on that word. No pause longer than three seconds.,FALSE,
TC09-5,9,1,Kookaburra (Nev),The Club,the_club,5,"Sing the first verse of ""We Wish You a Merry Christmas"" — but replace ""we"" with the name of the player to your right throughout.",FALSE,
TC09-6,9,1,Kookaburra (Nev),The Club,the_club,6,Player to your left hums any tune. You must sing four lines of improvised lyrics over it. Any topic.,FALSE,
TC09-7,9,1,Kookaburra (Nev),The Club,the_club,7,Compose and perform a four-line birthday song for any player at the table — even if it's not their birthday. Must include their name and one specific true fact about them.,FALSE,
TC09-8,9,1,Kookaburra (Nev),The Club,the_club,8,"Perform a 30-second musical argument — sung, not spoken — with the player to your right. You start. They may respond. You must resolve it in harmony.",TRUE,30
TC10-1,10,2,Cockatoo (Shazza),The Club,the_club,1,"Lead the whole table in one verse of ""Jingle Bells."" You conduct. Everyone sings.",FALSE,
TC10-2,10,2,Cockatoo (Shazza),The Club,the_club,2,"Compose and perform a four-line rhyming toast to the table. Must mention Christmas, must end with something to drink to. 30 seconds to compose.",FALSE,
TC10-3,10,2,Cockatoo (Shazza),The Club,the_club,3,"Perform a 20-second jingle advertising this exact gathering — who's here, what you're eating, why it's unmissable. Your choice of tune.",TRUE,20
TC10-4,10,2,Cockatoo (Shazza),The Club,the_club,4,"Teach the table a round — at least two parts — of any song, real or invented. Table must be able to join in. 60 seconds total including teaching time.",TRUE,60
TC10-5,10,2,Cockatoo (Shazza),The Club,the_club,5,"Sing any Christmas song — but swap every noun for the word ""cracker.""",FALSE,
TC10-6,10,2,Cockatoo (Shazza),The Club,the_club,6,Perform a four-line rhyme in which every line ends with a word that almost rhymes but doesn't quite. Commit fully to the near-rhymes.,FALSE,
TC10-7,10,2,Cockatoo (Shazza),The Club,the_club,7,Perform a jingle for a product that does not exist — but make it sound completely plausible. At least three lines. Your choice of tune.,FALSE,
TC10-8,10,2,Cockatoo (Shazza),The Club,the_club,8,"Perform a 30-second song in which you gradually reveal, line by line, an increasingly unlikely Christmas confession. Must build to a finale.",TRUE,30
TC11-1,11,3,Quokka (Trev),The Club,the_club,1,"Sing ""Rudolph the Red-Nosed Reindeer"" — but Rudolph has been replaced by an Australian animal of the table's choosing. Substitute the animal's name throughout.",FALSE,
TC11-2,11,3,Quokka (Trev),The Club,the_club,2,Improvise a four-line carol about the worst possible Christmas present. Lines 1 & 3 rhyme. Lines 2 & 4 rhyme. 30 seconds to compose.,FALSE,
TC11-3,11,3,Quokka (Trev),The Club,the_club,3,Perform a 20-second jingle for Christmas crackers — as if they are a new product that has never existed before and you are selling them for the first time.,TRUE,20
TC11-4,11,3,Quokka (Trev),The Club,the_club,4,"Perform a 30-second Christmas rap. Must include: one family member, one food on the table, one complaint about the weather, and a closing rhyme. No pause longer than three seconds.",TRUE,30
TC11-5,11,3,Quokka (Trev),The Club,the_club,5,Sing a four-line ballad about something that went wrong today. Any tune. Must end on a high note — literally.,FALSE,
TC11-6,11,3,Quokka (Trev),The Club,the_club,6,Perform a sea shanty — at least four lines — about the journey to this Christmas dinner. Include one hardship.,FALSE,
TC11-7,11,3,Quokka (Trev),The Club,the_club,7,Improvise a country song about a pet — real or imaginary — who ruined Christmas. Four lines minimum. Your choice of twang.,FALSE,
TC11-8,11,3,Quokka (Trev),The Club,the_club,8,Perform a 30-second opera about something trivial that happened in the last hour. Sung throughout. Must include a dramatic death.,TRUE,30
TC12-1,12,4,Magpie (Timbo),The Club,the_club,1,Sing one verse of any song — in the singing style of any animal. Announce the animal first.,FALSE,
TC12-2,12,4,Magpie (Timbo),The Club,the_club,2,"Sing ""Waltzing Matilda"" in the style of a genre that has never been used for it before. Announce the genre.",FALSE,
TC12-3,12,4,Magpie (Timbo),The Club,the_club,3,"Perform a four-line song in the voice of any well-known Australian, singing about their own fame. Must be recognisable.",FALSE,
TC12-4,12,4,Magpie (Timbo),The Club,the_club,4,"Perform a 30-second duet — alone. Two distinct voices, two distinct parts, at least one moment of harmony. Your choice of song.",TRUE,30
TC12-5,12,4,Magpie (Timbo),The Club,the_club,5,Player to your right names a colour. Sing a four-line song about that colour. Any tune.,FALSE,
TC12-6,12,4,Magpie (Timbo),The Club,the_club,6,Each player shouts out one random word. Weave all of them into a four-line rhyming song. 30 seconds to compose.,FALSE,
TC12-7,12,4,Magpie (Timbo),The Club,the_club,7,"Player to your left gives you a tune by humming it. You sing four lines of new, improvised lyrics over it.",FALSE,
TC12-8,12,4,Magpie (Timbo),The Club,the_club,8,"The table votes on a song. You perform it — but every noun is replaced with a noun shouted by the player to your right, live, as you sing. No stopping to negotiate.",FALSE,
TC13-1,13,5,Emu (Bev),The Club,the_club,1,Sing as many Christmas song titles as you can in 20 seconds — to any tune — without repeating.,TRUE,20
TC13-2,13,5,Emu (Bev),The Club,the_club,2,Improvise a four-line rhyming verse in under 20 seconds. No composing time — start immediately.,TRUE,20
TC13-3,13,5,Emu (Bev),The Club,the_club,3,"Sing any verse of any song — but every word must be replaced with the word ""cracker."" Tune maintained. No hesitation.",FALSE,
TC13-4,13,5,Emu (Bev),The Club,the_club,4,"Perform a 30-second song with no repeated words. Any song, any tune — but the moment you repeat a word, you fail.",TRUE,30
TC13-5,13,5,Emu (Bev),The Club,the_club,5,Sing a four-line song about the first prompt anyone performed tonight. Must be recognisable as a reference.,FALSE,
TC13-6,13,5,Emu (Bev),The Club,the_club,6,Perform a four-line rhyming verse summarising the game so far — one line per round if possible. 30 seconds to compose.,FALSE,
TC13-7,13,5,Emu (Bev),The Club,the_club,7,Perform a jingle about the best moment of the evening so far. Must name the player involved. 20 seconds.,TRUE,20
TC13-8,13,5,Emu (Bev),The Club,the_club,8,"Perform a 30-second musical tribute to every player at the table — one line each, in order. Every line must rhyme with the previous.",TRUE,30
TC14-1,14,6,Galah (Kel),The Club,the_club,1,Pick up any object from the table. Sing a four-line love song to it. Any tune.,FALSE,
TC14-2,14,6,Galah (Kel),The Club,the_club,2,Choose any object from the table. Perform a four-line rhyming eulogy for it as if it has just died.,FALSE,
TC14-3,14,6,Galah (Kel),The Club,the_club,3,Pick any object from the table. Perform a four-line jingle revealing its dark secret. Must scan and rhyme.,FALSE,
TC14-4,14,6,Galah (Kel),The Club,the_club,4,Pick any three objects from the table. Perform a 30-second song in which each object gets its own verse. Objects must be addressed by name.,TRUE,30
TC14-5,14,6,Galah (Kel),The Club,the_club,5,Sing any happy song — with complete devastation. Tune correct. Emotion wrong.,FALSE,
TC14-6,14,6,Galah (Kel),The Club,the_club,6,"Perform a four-line ballad about something trivial — a lost pen, a cold cup of tea — with the emotional weight of a national tragedy.",FALSE,
TC14-7,14,6,Galah (Kel),The Club,the_club,7,Sing any song — but begin in a whisper and end at full operatic volume. Linear escalation. No jumps.,FALSE,
TC14-8,14,6,Galah (Kel),The Club,the_club,8,"Perform a 30-second song that expresses two completely contradictory emotions simultaneously — joy and grief, pride and shame, love and fury. Sung throughout.",TRUE,30
TC15-1,15,7,Echidna (Simmo),The Club,the_club,1,"Perform one verse of ""Down Under"" — but replace the original lyrics with lyrics about this Christmas dinner. Same tune.",FALSE,
TC15-2,15,7,Echidna (Simmo),The Club,the_club,2,Perform a four-line bush ballad about any Australian animal. Must have the rhythm and tone of a Banjo Paterson poem. 30 seconds to compose.,FALSE,
TC15-3,15,7,Echidna (Simmo),The Club,the_club,3,Perform a four-line drinking song in which the chorus is any Australian slang phrase — used correctly. Your choice of phrase and tune.,FALSE,
TC15-4,15,7,Echidna (Simmo),The Club,the_club,4,Perform a 30-second anthem for Australia's most underappreciated animal. Make the case. Sing it. Mean it.,TRUE,30
TC15-5,15,7,Echidna (Simmo),The Club,the_club,5,"You and the player to your left each sing one line of the same song — simultaneously, in your own key. Table decides who stayed in tune better.",FALSE,
TC15-6,15,7,Echidna (Simmo),The Club,the_club,6,You and the player to your right both improvise a four-line rhyme on the same topic — table names it. 30 seconds each to compose. Table votes.,FALSE,
TC15-7,15,7,Echidna (Simmo),The Club,the_club,7,Perform a 20-second rap battle with the player to your left. Alternating two-line verses. You start. Table votes.,TRUE,20
TC15-8,15,7,Echidna (Simmo),The Club,the_club,8,You and the player across from you perform a 30-second duet — but you have not agreed on the song. Begin simultaneously. Whoever adapts to the other's song wins. Table votes.,TRUE,30
TC16-1,16,8,Platypus (Val),The Club,the_club,1,"Sing any song — but replace all vowels with the sound ""ah.""",FALSE,
TC16-2,16,8,Platypus (Val),The Club,the_club,2,"Perform a four-line rhyme in which the last word of each line is provided by a different player, live, as you reach it. No preparation.",FALSE,
TC16-3,16,8,Platypus (Val),The Club,the_club,3,Sing a 20-second song about a topic named by the table — but you may only use words of one syllable.,TRUE,20
TC16-4,16,8,Platypus (Val),The Club,the_club,4,Perform a 30-second song in a made-up language. Must sound like a real language. Must have a chorus. Table votes on whether it sounded convincing.,TRUE,30
TC16-5,16,8,Platypus (Val),The Club,the_club,5,Lead the table in one final chorus of any song everyone knows. You conduct. You start. Everyone joins.,FALSE,
TC16-6,16,8,Platypus (Val),The Club,the_club,6,Compose and perform a four-line toast to this game and everyone who played it. Must rhyme. Must end with something worth drinking to. 30 seconds to compose.,FALSE,
TC16-7,16,8,Platypus (Val),The Club,the_club,7,"Perform a 30-second ballad recapping the entire game — who played well, who suffered, who won. Name every player.",TRUE,30
TC16-8,16,8,Platypus (Val),The Club,the_club,8,"Perform a 45-second original song — written and performed now — about this specific Christmas, this specific table, and why it will be remembered. Must have a chorus.",TRUE,45
TRS17-1,17,1,Kookaburra (Nev),The Royal Show,royal_show,1,Mime unwrapping a Christmas present. The gift inside is the most disappointing thing imaginable. React accordingly. 20 seconds.,TRUE,20
TRS17-2,17,1,Kookaburra (Nev),The Royal Show,royal_show,2,"Perform a 15-second acceptance speech for ""Best Performer at the Royal Show"" — mime holding a trophy the entire time, getting progressively heavier.",TRUE,15
TRS17-3,17,1,Kookaburra (Nev),The Royal Show,royal_show,3,"Mime a galah who has just been told it cannot have a cracker. No words, no sounds.",FALSE,
TRS17-4,17,1,Kookaburra (Nev),The Royal Show,royal_show,4,"Mime a 30-second sideshow spruiker's pitch for the most useless product you can think of. Demonstrate the product, show its key feature, indicate the price. No words. No sounds.",TRUE,30
TRS17-5,17,1,Kookaburra (Nev),The Royal Show,royal_show,5,Mime taking a photo of the player to your left as if they are the most fascinating thing you have ever seen. 15 seconds.,TRUE,15
TRS17-6,17,1,Kookaburra (Nev),The Royal Show,royal_show,6,Mime teaching the player to your right how to do something they obviously already know how to do — very slowly and very condescendingly. 20 seconds. No words.,TRUE,20
TRS17-7,17,1,Kookaburra (Nev),The Royal Show,royal_show,7,"Mime a talent show audition in which you are desperately trying to impress the player to your left, who is the judge. 20 seconds. No words.",TRUE,20
TRS17-8,17,1,Kookaburra (Nev),The Royal Show,royal_show,8,"Mime an entire argument — with a full beginning, escalation, and resolution — directed at the player across from you. No words, no sounds. 30 seconds.",TRUE,30
TRS18-1,18,2,Cockatoo (Shazza),The Royal Show,royal_show,1,Mime that you have just discovered something extraordinary under the table. React. Show the table what it is without words. 15 seconds.,TRUE,15
TRS18-2,18,2,Cockatoo (Shazza),The Royal Show,royal_show,2,"Mime a sideshow game that the whole table can play simultaneously — set it up, demonstrate it, invite them in. No words. 20 seconds.",TRUE,20
TRS18-3,18,2,Cockatoo (Shazza),The Royal Show,royal_show,3,Mime conducting the table as an orchestra. Each player is a different instrument — assign them silently. 20 seconds.,TRUE,20
TRS18-4,18,2,Cockatoo (Shazza),The Royal Show,royal_show,4,Perform a 30-second mime in which you are a TV chef presenting this exact Christmas meal to a live studio audience — the table. No words. React to their responses.,TRUE,30
TRS18-5,18,2,Cockatoo (Shazza),The Royal Show,royal_show,5,"Mime performing a magic trick — set it up, perform it, react to the result. The trick must go wrong. 15 seconds.",TRUE,15
TRS18-6,18,2,Cockatoo (Shazza),The Royal Show,royal_show,6,"Mime attempting to pick a pocket — from someone sitting across the table, without them noticing — very badly. 20 seconds. No words.",TRUE,20
TRS18-7,18,2,Cockatoo (Shazza),The Royal Show,royal_show,7,Mime that you have something hidden under the table — build the anticipation — then reveal it. React to the table's reaction. No words. 20 seconds.,TRUE,20
TRS18-8,18,2,Cockatoo (Shazza),The Royal Show,royal_show,8,"Perform a 30-second mime of a sideshow escape act — you are tied up, you escape, you take a bow. Must include a moment where it looks like you won't make it. No words, no sounds.",TRUE,30
TRS19-1,19,3,Quokka (Trev),The Royal Show,royal_show,1,"Mime pulling a Christmas cracker with someone who is pulling too hard. Mime the snap, the contents flying out, the paper crown. 15 seconds.",TRUE,15
TRS19-2,19,3,Quokka (Trev),The Royal Show,royal_show,2,"Mime assembling a piece of flat-pack furniture on Christmas morning — instructions in hand, confidence eroding progressively. 20 seconds. No words.",TRUE,20
TRS19-3,19,3,Quokka (Trev),The Royal Show,royal_show,3,"Mime being a Christmas turkey who has just realised what day it is. 20 seconds. No words, no sounds.",TRUE,20
TRS19-4,19,3,Quokka (Trev),The Royal Show,royal_show,4,"Mime a 30-second scene in which you are Santa Claus, stuck in a chimney, attempting to free yourself with dignity intact before the family wakes up. No words, no sounds.",TRUE,30
TRS19-5,19,3,Quokka (Trev),The Royal Show,royal_show,5,"Mime telling a story — with a beginning, middle, and end — entirely in gestures. 20 seconds. The story must have a twist.",TRUE,20
TRS19-6,19,3,Quokka (Trev),The Royal Show,royal_show,6,"Mime a person discovering they have superpowers for the first time — right here, at the Christmas table. 20 seconds. No words.",TRUE,20
TRS19-7,19,3,Quokka (Trev),The Royal Show,royal_show,7,"Mime a silent film — hero, villain, chase, resolution — in 25 seconds. Must involve at least one item from the table.",TRUE,25
TRS19-8,19,3,Quokka (Trev),The Royal Show,royal_show,8,"Perform a 35-second mime of a nature documentary moment — predator, prey, chase, outcome — at the Christmas table. You play all roles. No words, no sounds.",TRUE,35
TRS20-1,20,4,Magpie (Timbo),The Royal Show,royal_show,1,Mime the physical mannerisms of any player at the table — without using their name or pointing at them. 15 seconds.,TRUE,15
TRS20-2,20,4,Magpie (Timbo),The Royal Show,royal_show,2,Mime being a specific animal — not a human — attempting to sit at a Christmas dinner table and eat politely. 20 seconds.,TRUE,20
TRS20-3,20,4,Magpie (Timbo),The Royal Show,royal_show,3,Mime the walk of three different people — announce each one — in 20 seconds.,TRUE,20
TRS20-4,20,4,Magpie (Timbo),The Royal Show,royal_show,4,"Perform a 30-second physical transformation — mime changing from one animal into a completely different animal, mid-scene. The table must identify both animals without being told. No words, no sounds.",TRUE,30
TRS20-5,20,4,Magpie (Timbo),The Royal Show,royal_show,5,Player to your right mimes an action. You copy it — but bigger. Then bigger again. 15 seconds total.,TRUE,15
TRS20-6,20,4,Magpie (Timbo),The Royal Show,royal_show,6,Player to your left gives you a prop — any object on the table. Mime a 20-second act using only that prop.,TRUE,20
TRS20-7,20,4,Magpie (Timbo),The Royal Show,royal_show,7,The table nominates a volunteer. You mime directing that player through a task they cannot see you describing. 20 seconds. No words or sounds.,TRUE,20
TRS20-8,20,4,Magpie (Timbo),The Royal Show,royal_show,8,Each player mimes one movement — go around the table quickly. You must chain all movements into a 30-second continuous performance. No words.,TRUE,30
TRS21-1,21,5,Emu (Bev),The Royal Show,royal_show,1,Mime five different emotions in 15 seconds — player to your left calls them out one at a time.,TRUE,15
TRS21-2,21,5,Emu (Bev),The Royal Show,royal_show,2,Mime building something — anything — in 15 seconds. Table must identify it. No extra time.,TRUE,15
