id,card_number,venue,venue_label,position,difficulty,success_condition,text,success_text,char_count,tier,print_position,family_safe,timed,duration_seconds,flags
"P04-RS-1",4,"royal_show","The Royal Show",1,1,"objective","Mime performing a magic trick — set it up, perform it, react to the result. The trick must go wrong. 15 seconds.","Setup, attempt, and failure all readable. No words.",112,"core",1,true,true,15,""
"P04-RS-2",4,"royal_show","The Royal Show",2,2,"objective","Mime attempting to pick a pocket — from someone sitting across the table, without them noticing — very badly. 20 seconds. No words.","Attempt and failure both readable. Target confirms they ""didn't notice.""",131,"core",2,true,true,20,""
"P04-RS-3",4,"royal_show","The Royal Show",3,2,"named_judge","Mime that you have something hidden under the table — build the anticipation — then reveal it. React to the table's reaction. No words. 20 seconds.","Named judge confirms anticipation built and reveal committed.",147,"expansion",,true,true,20,"EXPANSION COND-OVERRIDE"
"P04-RS-4",4,"royal_show","The Royal Show",4,3,"objective","Perform a 30-second mime of a sideshow escape act — you are tied up, you escape, you take a bow. Must include a moment where it looks like you won't make it. No words, no sounds.","Table identifies setup, near-failure moment, escape, and bow.",178,"core",3,true,true,30,""
"P04-SP-1",4,"school_play","The School Play",1,1,"named_judge","Deliver this line completely straight, as if it is the most normal thing in the world: ""I've been living under the table for three weeks and nobody noticed.""","Named judge confirms straight delivery — no smiling, no irony.",157,"core",1,true,false,,""
"P04-SP-2",4,"school_play","The School Play",2,2,"named_judge","Perform a 20-second scene: you are an actor in a play who knows they are in a play and keeps breaking the fourth wall — but the character doesn't.","Named judge confirms both layers — character and meta-awareness — are readable.",146,"core",2,true,true,20,""
"P04-SP-3",4,"school_play","The School Play",3,2,"named_judge","Deliver a 20-second confession — in a dramatic accent — for something minor that happened at this dinner tonight. Treat it as a major crime.","Named judge confirms accent held and gravity committed.",140,"expansion",,true,true,20,"EXPANSION"
"P04-SP-4",4,"school_play","The School Play",4,3,"named_judge","Perform a 40-second scene: you are a stage magician's assistant who is tired of being sawn in half and has decided to make a stand. Mid-performance. In front of a packed house.","Named judge confirms character, situation, and emotional commitment all held.",176,"core",3,true,true,40,""
"P05-CL-1",5,"comedy_lounge","Comedy Lounge",1,1,"vote","Tell a joke about a Christmas tradition you personally find ridiculous. Must have a punchline.","Majority confirms the punchline landed and the tradition is recognisable.",94,"core",1,true,false,,""
"P05-CL-2",5,"comedy_lounge","Comedy Lounge",2,2,"vote","Deliver a 20-second stand-up bit defending one genuinely terrible Christmas food as if it is a national treasure. Absolute conviction required.","Majority confirms conviction was total and argument was at least half-believable.",143,"core",2,true,true,20,""
"P05-CL-3",5,"comedy_lounge","Comedy Lounge",3,2,"vote","Tell a joke about Santa Claus that has never been told before. You have 20 seconds to compose it.","Majority confirms it is not a known joke. Punchline must land.",97,"expansion",,true,false,,"EXPANSION"
"P05-CL-4",5,"comedy_lounge","Comedy Lounge",4,3,"vote","Perform a 45-second stand-up bit about the specific horrors of Christmas shopping. Must include a specific product, a specific shop, and a punchline that lands on the last line.","Product and shop named, punchline on the last line, majority decides.",177,"core",3,true,true,45,""
"P05-TC-1",5,"the_club","The Club",1,1,"objective","Sing ""Rudolph the Red-Nosed Reindeer"" — but Rudolph has been replaced by an Australian animal of the table's choosing. Substitute the animal's name throughout.","Full verse completed, animal substituted correctly every time.",159,"core",1,true,false,,""
"P05-TC-2",5,"the_club","The Club",2,2,"objective","Improvise a four-line carol about the worst possible Christmas present. Lines 1 & 3 rhyme. Lines 2 & 4 rhyme. 30 seconds to compose.","Four lines completed, rhyme pairs land, present is genuinely terrible.",132,"core",2,true,false,,""
"P05-TC-3",5,"the_club","The Club",3,2,"objective","Perform a 20-second jingle for Christmas crackers — as if they are a new product that has never existed before and you are selling them for the first time.","Jingle completed, product described, 20 seconds reached.",155,"expansion",,true,true,20,"EXPANSION"
"P05-TC-4",5,"the_club","The Club",4,3,"objective","Perform a 30-second Christmas rap. Must include: one family member, one food on the table, one complaint about the weather, and a closing rhyme. No pause longer than three seconds.","All four elements included, final rhyme lands, no long pauses.",180,"core",3,true,true,30,""
"P05-RS-1",5,"royal_show","The Royal Show",1,1,"objective","Mime pulling a Christmas cracker with someone who is pulling too hard. Mime the snap, the contents flying out, the paper crown. 15 seconds.","All three stages readable without words.",139,"core",1,true,true,15,""
"P05-RS-2",5,"royal_show","The Royal Show",2,2,"objective","Mime assembling a piece of flat-pack furniture on Christmas morning — instructions in hand, confidence eroding progressively. 20 seconds. No words.","Assembly attempt, confusion, and eroding confidence all readable.",147,"core",2,true,true,20,""
"P05-RS-3",5,"royal_show","The Royal Show",3,2,"named_judge","Mime being a Christmas turkey who has just realised what day it is. 20 seconds. No words, no sounds.","Named judge confirms the realisation moment is clear and committed.",100,"expansion",,true,true,20,"EXPANSION COND-OVERRIDE"
"P05-RS-4",5,"royal_show","The Royal Show",4,3,"objective","Mime a 30-second scene in which you are Santa Claus, stuck in a chimney, attempting to free yourself with dignity intact before the family wakes up. No words, no sounds.","Situation, struggle, dignity, and resolution all readable.",169,"core",3,true,true,30,""
"P05-SP-1",5,"school_play","The School Play",1,1,"named_judge","Deliver this line in a strong Australian accent, as if it is the most devastating news you have ever received: ""They've sold out of prawns.""","Named judge confirms accent and devastation both committed.",140,"core",1,true,false,,""
"P05-SP-2",5,"school_play","The School Play",2,2,"named_judge","Perform a 20-second scene: you are the Ghost of Christmas Present, and this dinner table is your evidence. Present your case.","Named judge confirms character held and case presented.",125,"core",2,true,true,20,""
"P05-SP-3",5,"school_play","The School Play",3,2,"named_judge","Perform a 20-second scene: you are a very small child on Christmas morning who has just found out that Santa is not real. This is the scene.","Named judge confirms age, emotion, and moment are all readable.",140,"expansion",,true,true,20,"EXPANSION"
"P05-SP-4",5,"school_play","The School Play",4,3,"named_judge","Perform a 40-second dramatic reading of a Christmas cracker joke — as if it is Hamlet's soliloquy. Minimum two costume adjustments using items on the table.","Named judge confirms Shakespearean gravity maintained and two adjustments made.",156,"core",3,true,true,40,""
"P06-CL-1",6,"comedy_lounge","Comedy Lounge",1,1,"vote","Tell a two-sentence story about something that definitely did not happen to you this year. Must have a beginning and an end. Must be funny.","Majority confirms two sentences, ending, and at least a smile.",139,"core",1,true,false,,""
"P06-CL-2",6,"comedy_lounge","Comedy Lounge",2,2,"vote","Tell a 20-second story that begins: ""So this one time at a Christmas party..."" It must escalate. It must end badly for someone.","Escalation confirmed, ending confirmed, majority decides if it landed.",127,"core",2,true,true,20,""
"P06-CL-3",6,"comedy_lounge","Comedy Lounge",3,2,"vote","Tell a joke in the style of a long, rambling story that seems to be going nowhere — and then arrives at a punchline so precise the table can't believe it. 30 seconds maximum.","Majority decides if the punchline justified the journey.",174,"expansion",,true,true,30,"EXPANSION"
"P06-CL-4",6,"comedy_lounge","Comedy Lounge",4,3,"vote","Perform a 45-second comedic TED Talk on a topic of your choice. Must have a title, a thesis, and a call to action. Deadpan delivery required.","Title stated, thesis argued, call to action delivered, majority decides.",141,"core",3,false,true,45,""
"P06-TC-1",6,"the_club","The Club",1,1,"objective","Sing a four-line ballad about something that went wrong today. Any tune. Must end on a high note — literally.","Four lines, today referenced, high note attempted on final line.",109,"core",1,true,false,,""
"P06-TC-2",6,"the_club","The Club",2,2,"objective","Perform a sea shanty — at least four lines — about the journey to this Christmas dinner. Include one hardship.","Four lines, journey referenced, hardship included, shanty rhythm maintained.",110,"core",2,true,false,,""
"P06-TC-3",6,"the_club","The Club",3,2,"objective","Improvise a country song about a pet — real or imaginary — who ruined Christmas. Four lines minimum. Your choice of twang.","Four lines, pet named, ruin described, country affect maintained.",122,"expansion",,true,false,,"EXPANSION"
"P06-TC-4",6,"the_club","The Club",4,3,"vote","Perform a 30-second opera about something trivial that happened in the last hour. Sung throughout. Must include a dramatic death.","Event identifiable, death performed, sung throughout, majority decides.",129,"core",3,true,true,30,"COND-OVERRIDE"
"P06-RS-1",6,"royal_show","The Royal Show",1,1,"objective","Mime telling a story — with a beginning, middle, and end — entirely in gestures. 20 seconds. The story must have a twist.","Three stages and twist all readable. No words.",121,"core",1,true,true,20,""
"P06-RS-2",6,"royal_show","The Royal Show",2,2,"objective","Mime a person discovering they have superpowers for the first time — right here, at the Christmas table. 20 seconds. No words.","Discovery, power, and reaction all readable.",126,"core",2,true,true,20,""
"P06-RS-3",6,"royal_show","The Royal Show",3,2,"named_judge","Mime a silent film — hero, villain, chase, resolution — in 25 seconds. Must involve at least one item from the table.","Named judge confirms all four story elements and table item use.",117,"expansion",,true,true,25,"EXPANSION COND-OVERRIDE"
"P06-RS-4",6,"royal_show","The Royal Show",4,3,"objective","Perform a 35-second mime of a nature documentary moment — predator, prey, chase, outcome — at the Christmas table. You play all roles. No words, no sounds.","Predator, prey, chase, and outcome all readable. Roles are distinct.",155,"core",3,true,true,35,""
"P06-SP-1",6,"school_play","The School Play",1,1,"named_judge","Deliver this line as the opening of a dramatic story — then improvise the next sentence: ""Nobody expected it to end like this.""","Named judge confirms dramatic opening and second sentence committed.",127,"core",1,true,false,,""
"P06-SP-2",6,"school_play","The School Play",2,2,"named_judge","Perform a 20-second scene: you are a character in a soap opera who has just discovered a terrible secret about someone at this table. You cannot say what it is.","Named judge confirms secret-keeping, drama, and character held.",160,"core",2,true,true,20,""
"P06-SP-3",6,"school_play","The School Play",3,2,"named_judge","Player to your left gives you a genre (horror, romance, Western, etc.). Perform a 20-second scene from a film in that genre — set at this Christmas table.","Named judge confirms genre, setting, and character all committed.",154,"expansion",,true,true,20,"EXPANSION"
"P06-SP-4",6,"school_play","The School Play",4,3,"named_judge","Perform a 40-second dramatic monologue as the last surviving member of a civilisation explaining to future generations what Christmas dinner was. Treat it as sacred.","Named judge confirms gravity, detail, and character held throughout.",165,"core",3,false,true,40,""
"P07-CL-1",7,"comedy_lounge","Comedy Lounge",1,1,"vote","Do your best impression of any animal at the table — the characters on the game cards, not the players. One sentence in their voice.","Majority identifies the animal.",132,"core",1,true,false,,""
"P07-CL-2",7,"comedy_lounge","Comedy Lounge",2,2,"vote","Do an impression of any well-known Australian — politician, sportsperson, TV personality — telling a Christmas joke. Must be recognisable.","Majority identifies the person. Joke has a punchline.",138,"core",2,true,false,,""
"P07-CL-3",7,"comedy_lounge","Comedy Lounge",3,2,"vote","Deliver this line as three different people in quick succession — announce each one: ""Well. That could have gone better.""","Three distinct voices. Majority identifies at least two.",121,"expansion",,true,false,,"EXPANSION"
"P07-CL-4",7,"comedy_lounge","Comedy Lounge",4,3,"vote","Perform a 30-second stand-up set entirely in the voice of a well-known Australian you have not done before. Majority must identify them within the first 10 seconds or you restart.","Identified within 10 seconds. Set runs 30 seconds. Majority decides.",179,"core",3,true,true,30,""
"P07-TC-1",7,"the_club","The Club",1,1,"objective","Sing one verse of any song — in the singing style of any animal. Announce the animal first.","Full verse, animal style maintained throughout.",91,"core",1,true,false,,""
"P07-TC-2",7,"the_club","The Club",2,2,"objective","Sing ""Waltzing Matilda"" in the style of a genre that has never been used for it before. Announce the genre.","Full first verse, genre announced, style maintained.",107,"core",2,true,false,,""
"P07-TC-3",7,"the_club","The Club",3,2,"vote","Perform a four-line song in the voice of any well-known Australian, singing about their own fame. Must be recognisable.","Majority identifies the person. Four lines completed.",119,"expansion",,true,false,,"EXPANSION COND-OVERRIDE"
"P07-TC-4",7,"the_club","The Club",4,3,"objective","Perform a 30-second duet — alone. Two distinct voices, two distinct parts, at least one moment of harmony. Your choice of song.","Two voices distinct, both parts delivered, harmony attempted.",127,"core",3,true,true,30,""
"P07-RS-1",7,"royal_show","The Royal Show",1,1,"objective","Mime the physical mannerisms of any player at the table — without using their name or pointing at them. 15 seconds.","Majority identifies the player without prompting.",115,"core",1,true,true,15,""
"P07-RS-2",7,"royal_show","The Royal Show",2,2,"objective","Mime being a specific animal — not a human — attempting to sit at a Christmas dinner table and eat politely. 20 seconds.","Animal and the struggle for politeness both readable. No words.",120,"core",2,true,true,20,""
"P07-RS-3",7,"royal_show","The Royal Show",3,2,"named_judge","Mime the walk of three different people — announce each one — in 20 seconds.","Named judge confirms three distinct walks.",76,"expansion",,true,true,20,"EXPANSION COND-OVERRIDE"
"P07-RS-4",7,"royal_show","The Royal Show",4,3,"objective","Perform a 30-second physical transformation — mime changing from one animal into a completely different animal, mid-scene. The table must identify both animals without being told. No words, no sounds.","Both animals identified by majority. Transformation has a clear midpoint.",200,"core",3,true,true,30,""
"P07-SP-1",7,"school_play","The School Play",1,1,"named_judge","Deliver this line in the voice of someone much older than you: ""In my day, Christmas was very different.""","Named judge confirms age is readable and character committed.",105,"core",1,true,false,,""
"P07-SP-2",7,"school_play","The School Play",2,2,"named_judge","Perform a 20-second scene as any well-known Australian — in character — reacting to this Christmas dinner for the first time. Stay in character throughout.","Named judge identifies the person and confirms character held.",155,"core",2,true,true,20,""
"P07-SP-3",7,"school_play","The School Play",3,2,"named_judge","Player to your right names a famous person. Perform a 20-second scene as that person, in their accent, discovering they've been given a Christmas cracker.","Named judge confirms accent, character, and moment all committed.",154,"expansion",,true,true,20,"EXPANSION"
"P07-SP-4",7,"school_play","The School Play",4,3,"named_judge","Perform a 40-second scene as two characters in rapid alternation — you play both, switching every few lines. Characters must be clearly distinct in voice, physicality, and attitude.","Named judge confirms both characters distinct and switches clear.",181,"core",3,true,true,40,""
"P08-CL-1",8,"comedy_lounge","Comedy Lounge",1,1,"vote","Ask the table for a topic. Tell a joke about it. You have 20 seconds to think.","Punchline lands. Majority decides.",78,"core",1,true,false,,""
"P08-CL-2",8,"comedy_lounge","Comedy Lounge",2,2,"vote","Each player gives you one word. Tell a single joke that uses every word. You have 30 seconds to compose.","All words used. Punchline attempted. Majority decides.",104,"core",2,true,false,,""
"P08-CL-3",8,"comedy_lounge","Comedy Lounge",3,2,"vote","Player to your left gives you a punchline. You must construct the setup to make it work. 30 seconds to compose, then deliver.","Setup makes the punchline land. Majority decides.",125,"expansion",,true,false,,"EXPANSION"
"P08-CL-4",8,"comedy_lounge","Comedy Lounge",4,3,"vote","The table gives you: a person, a place, and a problem. Perform a 30-second stand-up bit incorporating all three. Punchline must land on the problem.","All three elements used. Problem is the punchline. Majority decides.",148,"core",3,true,true,30,""
"P08-TC-1",8,"the_club","The Club",1,1,"objective","Player to your right names a colour. Sing a four-line song about that colour. Any tune.","Colour mentioned at least twice. Four lines completed.",87,"core",1,true,false,,""
"P08-TC-2",8,"the_club","The Club",2,2,"objective","Each player shouts out one random word. Weave all of them into a four-line rhyming song. 30 seconds to compose.","All words used. Four lines. Rhyme pairs land.",111,"core",2,true,false,,""
